pH,Temperature,Conductivity @25°C,Dissolved Oxygen,BOD - 5 days (Total),Ammonia-Total (as N),ortho-Phosphate (as P) - unspecified,Total Hardness (as CaCO3),True Colour,Is_Potable_By_Normes
7.372,12.955,402.133,12.216,3.894,0.366,0.144,204.537,7.008,1
5.935,31.634,502.96,4.249,-0.972,2.352,-0.591,-1.551,15.271,0
6.532,26.137,81.453,8.475,2.658,0.296,0.083,65.172,2.747,1
2.237,31.041,502.822,16.321,9.936,2.382,4.599,300.783,-1.077,0
11.793,-2.444,504.071,3.925,-4.403,4.263,4.78,301.716,-2.355,0
9.059,-2.069,502.433,14.364,5.247,1.027,-4.829,-4.55,18.881,0
6.838,3.15,310.823,11.965,2.45,0.136,0.027,15.973,13.605,1
11.038,31.436,503.174,17.908,5.545,-0.279,-1.954,301.169,17.459,0
6.663,0.396,88.837,5.395,0.993,0.003,0.02,27.956,7.738,1
8.694,32.332,-0.876,3.65,6.214,-3.921,3.288,-4.362,16.493,0
4.737,-2.2,-2.32,15.225,5.168,-3.491,-0.561,302.505,-1.064,0
7.229,14.757,311.756,7.008,2.689,0.13,0.014,160.563,13.198,1
3.412,33.624,501.208,15.486,-4.238,-4.727,-2.24,300.731,-3.973,0
1.696,-2.385,501.707,2.933,-2.438,-4.48,-2.103,303.669,16.855,0
7.916,12.014,425.66,5.247,0.994,0.023,0.011,137.959,7.417,1
7.563,20.634,468.062,5.571,4.019,0.035,0.068,153.422,8.648,1
7.793,0.642,345.463,9.534,3.093,0.066,0.158,291.309,11.618,1
1.964,-3.328,502.321,1.244,-0.217,-2.542,-1.761,-2.061,18.174,0
1.742,30.115,-3.892,14.26,-4.514,5.182,-0.603,-0.806,18.051,0
13.068,34.913,504.846,17.127,7.107,-2.118,-2.618,302.754,-4.099,0
5.49,-1.634,500.133,17.939,8.284,-1.509,-2.818,-4.016,-4.439,0
6.237,-0.673,504.883,15.372,-4.023,-4.85,4.645,-1.107,15.208,0
8.225,28.787,266.254,7.457,1.452,0.137,0.097,1.639,8.462,1
4.356,30.441,501.829,2.934,6.588,3.322,2.23,-1.043,18.167,0
8.112,3.213,212.38,11.949,3.763,0.333,0.052,213.024,14.106,1
6.568,12.697,307.327,7.487,3.22,0.07,0.106,277.691,2.704,1
2.61,32.231,503.219,15.545,7.113,5.17,1.234,300.921,-1.895,0
5.186,-2.436,501.703,2.666,-3.987,-4.311,4.614,304.03,-3.304,0
7.107,24.527,376.578,8.32,3.535,0.004,0.009,256.93,4.447,1
6.391,-3.25,-2.726,1.196,6.741,-4.507,-3.191,302.464,-2.313,0
9.659,-4.885,501.068,18.899,-2.932,-1.175,-0.9,300.924,15.906,0
13.122,33.49,-1.115,14.572,5.225,-4.393,-1.559,-2.128,-1.71,0
6.545,28.053,487.325,6.48,2.606,0.191,0.154,81.869,10.016,1
8.23,21.946,154.321,7.505,4.128,0.28,0.019,229.435,14.496,1
1.926,32.136,501.163,17.699,-1.407,0.709,0.589,302.5,19.169,0
9.363,-1.876,-3.011,18.783,6.388,2.672,-0.758,-0.856,-3.273,0
6.598,6.18,222.248,7.961,4.878,0.411,0.135,104.422,8.792,1
11.376,34.534,-3.401,3.31,8.859,2.419,1.442,-4.095,18.285,0
7.666,3.769,242.714,5.159,0.354,0.432,0.109,91.495,9.744,1
9.356,-0.443,501.252,16.832,7.893,2.085,2.362,-1.239,-4.462,0
7.382,17.156,80.814,7.748,2.862,0.306,0.069,122.204,13.726,1
6.627,19.211,67.886,8.281,2.343,0.178,0.135,82.842,12.965,1
13.06,-1.889,502.395,15.05,-1.159,4.925,-4.793,301.95,19.292,0
7.441,8.215,263.795,8.732,2.06,0.114,0.035,169.52,9.869,1
8.112,6.204,368.908,7.882,2.421,0.42,0.105,235.426,13.238,1
3.336,30.887,-4.838,3.569,6.046,5.048,3.265,300.605,15.272,0
9.542,34.579,504.59,14.285,-3.851,-2.06,1.247,-0.275,-3.579,0
12.56,-0.764,501.605,18.635,6.528,-1.866,1.745,303.641,-4.738,0
6.778,22.79,275.149,11.704,3.654,0.463,0.059,225.109,11.631,1
2.274,33.764,504.414,15.329,-0.822,-4.601,3.31,304.79,-3.393,0
8.095,26.656,130.562,12.884,1.507,0.124,0.016,266.478,5.41,1
11.482,-2.034,-2.533,18.78,-4.76,0.973,-3.431,302.008,-0.845,0
7.732,15.021,130.728,11.395,0.609,0.034,0.152,31.687,11.699,1
2.212,32.215,504.213,17.469,-0.844,5.275,1.443,304.117,18.845,0
11.808,-4.988,504.017,1.457,7.137,1.969,-1.616,-3.583,-3.238,0
4.45,-0.387,504.117,16.561,5.553,-2.512,4.315,-3.564,-4.599,0
9.849,-4.113,502.71,15.347,-2.649,-4.554,1.856,-4.496,-3.154,0
7.367,8.224,386.69,13.121,0.788,0.112,0.105,229.297,10.855,1
6.773,9.286,24.719,11.863,3.942,0.313,0.127,94.317,5.87,1
6.722,0.75,390.981,13.88,0.563,0.11,0.149,187.463,10.225,1
1.984,-0.279,501.123,17.401,-1.961,-4.771,-2.948,300.365,-0.167,0
5.727,31.553,-4.88,15.903,7.682,2.174,-3.459,301.529,-2.815,0
7.088,27.906,263.952,8.241,4.361,0.123,0.091,135.802,5.813,1
13.282,32.466,-2.832,16.257,-0.646,-0.159,-0.36,304.328,-4.65,0
9.109,32.742,-1.454,1.534,6.635,2.631,-2.491,-0.83,17.457,0
6.619,2.978,10.521,6.451,3.559,0.1,0.193,87.468,7.562,1
5.449,30.461,502.419,3.787,8.646,-3.669,4.041,-4.858,15.962,0
2.481,30.662,-1.471,16.843,-2.435,4.075,-4.039,-0.787,16.602,0
7.175,4.727,44.682,13.836,0.055,0.202,0.086,170.889,2.743,1
7.446,14.866,216.307,6.488,1.297,0.017,0.174,208.095,0.781,1
8.037,4.024,94.725,6.183,4.24,0.322,0.145,79.789,9.913,1
4.647,-1.69,503.979,18.733,9.936,-2.663,2.775,300.141,-2.55,0
1.846,-1.916,-0.616,2.766,-4.471,1.126,4.318,301.754,18.238,0
12.783,34.582,504.776,2.542,-1.195,1.057,-1.166,304.901,-3.762,0
7.995,29.769,464.985,6.402,1.974,0.297,0.074,261.993,1.119,1
7.704,3.731,358.455,8.865,1.558,0.343,0.12,142.038,5.521,1
7.109,10.921,203.251,9.042,1.616,0.477,0.153,159.767,14.967,1
7.615,13.739,335.386,6.612,4.812,0.187,0.099,48.869,12.745,1
7.764,0.734,46.943,12.132,2.866,0.028,0.042,274.318,4.004,1
7.451,15.243,317.8,12.788,4.145,0.45,0.129,172.707,13.658,1
8.43,10.261,399.174,7.248,0.809,0.343,0.05,179.042,0.071,1
7.474,18.484,270.13,10.883,3.508,0.06,0.063,115.645,12.705,1
3.789,34.473,-4.187,1.233,-4.563,1.435,-3.896,300.999,17.436,0
4.552,31.56,503.584,0.306,-4.043,-3.182,4.048,304.199,-1.729,0
7.135,20.051,31.24,12.444,2.209,0.267,0.079,57.974,13.771,1
4.415,-0.575,501.156,1.072,-2.179,-3.213,-1.732,-3.336,17.906,0
7.78,19.008,330.35,11.566,4.739,0.205,0.055,165.257,4.32,1
7.033,0.699,3.655,8.875,0.717,0.101,0.17,268.882,7.91,1
7.552,12.457,323.837,13.115,1.339,0.33,0.118,258.645,7.891,1
3.386,-3.216,501.632,1.625,-0.489,4.13,-2.604,304.864,19.356,0
7.902,13.014,115.055,7.447,0.395,0.33,0.194,108.51,11.982,1
6.182,32.154,501.567,16.865,-4.602,4.372,3.534,-0.972,-1.326,0
5.601,31.332,-2.628,0.962,6.8,3.03,4.59,-2.297,-2.413,0
11.564,34.505,-1.862,14.736,5.734,-0.808,1.594,302.615,18.533,0
7.929,1.825,19.013,8.801,2.697,0.388,0.005,110.404,12.524,1
6.904,28.742,244.017,9.877,3.72,0.426,0.184,191.835,14.851,1
12.901,34.971,-2.254,16.983,-4.5,-4.882,-1.969,303.612,-2.368,0
6.507,3.798,169.139,13.535,0.853,0.329,0.163,208.452,13.437,1
6.519,24.175,252.482,9.843,4.373,0.235,0.131,146.428,0.228,1
11.659,-0.185,504.448,0.979,-3.226,-1.785,2.953,303.692,16.922,0
8.103,9.569,176.007,13.765,2.323,0.395,0.097,21.575,8.305,1
3.872,32.263,503.893,4.449,-2.345,0.919,-2.062,301.467,-3.579,0
13.285,-3.337,503.65,18.041,7.196,3.634,-3.73,-4.173,15.267,0
7.523,0.136,107.163,7.981,0.349,0.244,0.042,59.95,12.816,1
7.828,15.36,147.014,6.993,4.759,0.443,0.045,212.469,6.766,1
4.349,-0.178,-0.457,2.816,8.839,3.19,1.896,-1.635,-3.552,0
3.461,34.993,502.045,2.273,-2.579,-4.855,-3.578,301.959,17.669,0
4.373,34.304,504.969,16.217,8.55,3.977,-0.154,-3.895,-4.05,0
4.858,31.454,-2.524,3.173,-1.711,-3.648,1.352,304.02,17.93,0
7.227,0.244,489.695,12.038,0.219,0.33,0.027,229.714,3.248,1
10.063,34.13,502.407,4.647,6.588,-2.443,-2.811,-0.817,-2.263,0
7.391,21.087,293.58,5.094,2.853,0.352,0.035,271.828,11.382,1
7.479,17.546,372.032,6.285,0.35,0.445,0.029,289.795,3.982,1
8.263,18.219,34.822,13.823,2.198,0.491,0.061,149.775,9.189,1
4.519,-2.34,503.662,15.377,8.777,5.481,3.832,304.905,-4.125,0
1.582,30.967,502.968,14.815,-4.356,1.944,-0.591,-1.084,18.144,0
7.767,23.325,178.505,11.266,2.083,0.286,0.174,193.647,1.569,1
11.76,-4.115,-1.455,17.719,-1.426,4.774,0.347,-1.639,18.826,0
9.056,34.234,-2.836,16.551,-4.779,-4.565,-2.425,-1.927,19.984,0
5.728,-1.239,-3.999,16.207,9.365,0.971,-3.235,-2.496,17.73,0
4.859,-3.072,500.212,14.692,-3.165,4.439,-4.157,-0.935,16.574,0
8.067,20.374,123.018,13.821,4.978,0.098,0.085,231.714,7.53,1
7.746,21.629,139.161,12.99,3.506,0.2,0.052,100.418,13.737,1
5.386,33.594,-1.735,15.618,-1.834,3.722,0.42,-1.552,-1.244,0
7.152,8.139,295.875,9.711,4.435,0.285,0.16,238.31,9.882,1
9.945,-4.025,503.27,2.5,-3.224,1.733,4.081,304.327,-1.655,0
9.897,31.003,501.045,1.582,-4.532,5.198,1.064,303.145,-2.016,0
13.017,-4.021,503.32,0.269,5.906,-0.936,2.95,-3.432,16.79,0
8.6,32.189,-3.787,1.308,-2.61,-2.718,1.175,-2.202,-2.308,0
13.349,-1.212,-3.566,4.672,5.435,2.317,4.08,-2.17,15.595,0
4.539,-1.379,501.956,3.032,-1.582,2.061,1.141,-4.69,15.641,0
6.893,3.896,382.998,7.872,3.147,0.499,0.14,209.509,3.025,1
12.164,-3.371,501.164,4.35,-2.563,3.765,-3.958,301.867,-3.157,0
11.158,-4.26,501.728,3.304,9.29,-1.503,-4.119,300.719,19.31,0
8.111,10.561,321.818,7.882,2.845,0.25,0.102,122.891,13.965,1
12.642,-0.358,503.666,4.867,9.127,-0.236,0.576,-0.919,16.233,0
7.373,6.794,130.4,6.626,4.968,0.305,0.092,221.111,2.706,1
7.124,6.792,372.457,8.103,4.669,0.442,0.017,131.945,4.277,1
3.245,34.582,502.825,3.348,-1.158,3.106,-1.609,-0.13,-3.378,0
13.088,-4.732,504.564,2.359,9.678,-2.793,-2.321,300.824,18.108,0
7.811,5.019,411.034,6.294,3.703,0.27,0.13,79.241,10.464,1
8.015,14.463,233.408,13.483,3.645,0.405,0.111,290.066,12.12,1
7.988,11.377,319.227,9.338,1.232,0.309,0.158,102.768,6.534,1
3.443,33.702,504.723,0.508,-4.345,-0.781,4.402,-3.503,-2.26,0
8.473,16.107,26.785,5.44,2.56,0.235,0.034,105.746,9.89,1
11.465,-3.653,-3.762,15.66,-4.875,4.277,-1.892,303.534,17.611,0
12.784,-0.895,502.152,14.297,-4.655,-1.063,2.751,301.685,15.372,0
12.224,31.259,-4.642,18.506,-2.241,-2.316,-3.503,304.272,19.581,0
7.14,21.472,3.949,12.931,2.792,0.247,0.064,237.226,5.775,1
7.177,21.77,428.324,6.23,2.647,0.137,0.001,187.892,10.313,1
7.094,19.7,458.015,5.452,4.074,0.197,0.082,177.292,12.206,1
5.785,34.164,503.741,17.178,-0.541,2.045,2.558,301.494,-2.494,0
9.59,33.559,500.37,14.446,5.835,5.201,2.387,301.036,15.467,0
6.827,27.296,21.639,7.978,2.618,0.32,0.122,207.001,11.921,1
7.073,16.068,440.93,6.748,0.286,0.471,0.039,219.452,9.906,1
3.441,33.426,501.031,16.525,-1.592,2.24,-1.783,-1.627,-3.157,0
12.506,-3.36,-3.98,0.668,-0.966,-3.954,-2.688,301.469,-3.061,0
9.821,-3.139,-1.952,3.84,6.195,1.082,4.257,304.92,-4.449,0
8.416,21.503,357.083,10.29,3.761,0.434,0.086,148.552,4.975,1
4.337,30.449,-1.508,2.39,-1.59,-0.525,-3.643,-2.982,-4.046,0
9.584,30.551,-3.431,14.118,6.853,1.006,-0.613,302.229,-4.083,0
5.705,32.628,501.66,15.641,-4.006,-2.553,-3.754,301.636,16.456,0
4.576,-2.558,504.71,1.915,-3.261,4.471,-2.646,-1.345,-3.28,0
1.704,-0.779,503.95,14.678,9.484,2.184,-4.119,301.154,-2.726,0
12.916,-1.402,504.207,16.392,5.329,4.958,1.511,301.194,15.313,0
1.895,-3.09,-2.008,16.852,-1.301,-1.767,-0.43,-1.748,-1.483,0
3.605,32.067,-3.854,3.972,6.826,-1.952,-1.249,-4.718,15.638,0
6.681,11.593,162.174,13.789,2.05,0.181,0.123,273.177,4.226,1
7.951,6.948,48.587,13.582,2.06,0.044,0.198,151.955,13.782,1
7.334,11.733,153.139,6.397,2.32,0.129,0.196,251.696,2.933,1
2.127,30.546,504.377,16.927,6.612,4.501,4.808,-2.206,18.192,0
7.54,13.227,401.307,11.303,1.584,0.404,0.121,288.427,14.762,1
8.268,2.695,162.833,9.16,3.037,0.449,0.145,238.49,4.261,1
6.123,-2.457,503.665,4.523,6.757,2.421,4.239,-0.232,17.892,0
3.81,32.201,-4.301,1.579,9.591,-4.788,4.086,-3.014,-0.705,0
7.909,22.06,490.654,12.366,1.089,0.04,0.185,98.488,8.59,1
6.55,22.311,330.086,7.637,3.408,0.289,0.04,273.1,14.704,1
13.131,-2.663,500.363,15.354,6.691,-0.517,-3.048,-0.358,-3.186,0
12.276,-0.41,500.381,15.561,7.785,4.192,0.858,302.524,-3.7,0
10.869,-0.564,503.785,16.311,5.53,4.211,1.921,301.273,17.019,0
1.611,-2.228,-4.024,1.46,-0.222,4.694,3.662,303.255,18.771,0
2.372,30.874,-2.66,14.425,9.656,1.06,3.116,303.31,-3.148,0
7.91,21.427,434.795,5.729,2.636,0.187,0.091,153.982,13.675,1
6.782,24.843,203.001,9.838,1.948,0.422,0.073,27.082,12.995,1
8.319,10.002,142.004,5.501,4.78,0.473,0.173,267.688,7.731,1
9.045,-3.093,500.94,0.107,9.625,4.792,5.08,302.498,19.605,0
5.933,31.618,502.666,15.369,6.276,5.306,3.364,-0.802,-1.067,0
6.981,21.78,249.445,6.791,1.69,0.198,0.132,22.011,14.343,1
4.872,-2.466,-0.127,15.778,-2.807,-2.85,-2.256,300.168,18.214,0
11.411,-3.177,501.248,16.512,8.566,-0.265,1.292,-4.199,17.189,0
2.814,31.695,-3.36,17.173,-3.568,-0.878,-4.413,303.586,17.941,0
10.567,-1.872,501.988,18.623,-1.311,1.484,-4.798,-2.155,-2.045,0
13.492,32.696,503.982,14.291,-4.542,5.108,3.281,304.089,-2.604,0
8.271,5.602,450.99,12.827,4.493,0.042,0.018,79.273,9.987,1
7.522,0.296,165.689,6.473,0.394,0.299,0.083,20.986,11.391,1
13.443,-0.585,501.751,17.45,9.806,1.57,1.943,-2.415,-3.113,0
6.868,21.798,452.915,6.882,3.494,0.009,0.059,0.277,1.366,1
6.974,10.654,377.284,13.813,3.556,0.013,0.037,171.558,12.641,1
10.496,31.315,-0.979,2.322,-3.813,3.879,-1.712,-1.884,-4.309,0
2.495,31.06,-4.431,15.562,-3.895,-4.903,3.688,-2.416,19.335,0
7.243,7.036,13.808,13.579,0.316,0.077,0.001,280.55,4.816,1
8.708,33.947,-4.963,1.553,-2.078,-4.405,-2.949,-2.224,-0.129,0
3.638,-1.483,-3.904,18.788,-4.328,0.789,-2.205,302.462,-1.967,0
7.292,22.84,260.498,7.644,3.134,0.331,0.003,160.665,4.292,1
11.456,-0.246,504.789,2.847,-4.724,-4.921,4.16,303.695,18.006,0
11.615,-4.282,502.145,3.181,8.905,3.413,2.845,-2.414,17.019,0
3.942,-2.83,503.403,15.178,-3.293,1.105,-4.655,-0.488,17.593,0
6.873,20.645,251.109,8.028,1.761,0.317,0.098,88.893,13.569,1
7.485,24.629,135.778,8.117,1.774,0.153,0.178,232.828,6.351,1
7.604,29.582,81.217,12.91,1.986,0.094,0.036,115.522,12.643,1
5.152,-2.383,504.948,2.157,-4.468,-3.88,-1.87,303.753,-4.23,0
7.086,13.579,92.451,6.112,0.034,0.374,0.08,65.79,1.304,1
7.927,24.469,424.816,5.046,2.891,0.054,0.014,63.903,4.316,1
9.24,34.762,-1.311,3.83,-4.239,-1.976,0.44,-1.47,-0.436,0
6.248,-1.369,504.452,18.641,-0.781,2.334,-2.646,302.257,19.354,0
12.035,32.093,-3.201,16.588,-1.24,2.502,1.167,300.676,-3.639,0
11.691,-4.675,-0.946,14.875,-1.941,-4.184,-1.7,-1.021,-3.2,0
6.761,19.221,393.986,8.717,4.997,0.255,0.162,299.126,14.71,1
4.394,30.735,500.948,14.149,9.788,1.626,3.175,-2.973,19.005,0
3.032,-4.702,-3.094,16.203,7.36,2.043,1.182,303.507,-2.204,0
8.083,17.309,68.384,10.416,0.404,0.047,0.1,71.74,0.016,1
6.76,5.931,414.426,9.114,1.24,0.442,0.191,67.706,12.794,1
8.283,26.131,215.957,7.809,4.595,0.023,0.13,2.59,2.124,1
6.384,-3.094,504.599,0.135,6.079,-4.573,-2.504,-3.221,-0.2,0
12.534,-3.352,-4.422,0.524,-1.63,-4.653,-3.929,303.144,-3.776,0
7.909,16.348,258.915,7.028,4.04,0.327,0.164,117.124,2.91,1
6.534,8.001,326.261,10.994,4.555,0.001,0.078,152.702,10.503,1
7.065,24.69,188.098,7.319,2.184,0.15,0.069,273.896,7.243,1
8.151,16.312,470.432,9.509,4.923,0.459,0.162,218.58,8.399,1
7.812,29.502,34.578,9.176,0.719,0.124,0.049,293.454,9.843,1
11.448,-0.483,-1.247,4.849,6.903,2.094,-2.858,-4.689,19.327,0
5.602,30.282,-2.719,18.166,-1.579,-3.771,-4.193,302.326,-2.307,0
4.364,-0.21,502.325,18.053,-2.395,-2.201,2.775,303.173,-1.082,0
6.558,29.958,70.657,9.913,4.702,0.48,0.168,76.875,8.318,1
8.856,30.865,502.541,17.642,9.341,-2.807,-4.455,-1.181,19.783,0
6.774,1.0,244.463,11.53,3.726,0.399,0.077,116.759,14.054,1
10.338,34.112,-0.539,3.422,8.225,4.706,-0.591,-2.938,16.891,0
5.555,30.825,503.997,14.172,-0.73,-4.628,0.362,304.623,18.656,0
7.548,19.544,266.125,11.921,0.61,0.42,0.079,103.528,10.157,1
10.707,34.564,503.049,0.962,6.334,-3.557,2.548,303.746,17.718,0
6.801,11.252,176.166,7.653,4.981,0.385,0.05,55.935,3.149,1
6.869,15.819,380.164,6.371,2.63,0.442,0.126,86.469,2.002,1
6.581,18.614,499.478,8.873,0.978,0.458,0.138,85.26,8.256,1
8.437,13.017,173.909,12.958,1.546,0.297,0.02,156.281,10.923,1
3.487,-3.174,503.408,3.514,7.988,-1.744,-2.173,301.107,19.792,0
7.596,26.115,309.166,10.798,3.335,0.28,0.024,270.915,8.048,1
7.903,12.14,1.946,11.963,0.497,0.135,0.096,262.493,2.164,1
11.028,34.657,-0.115,1.723,9.046,3.702,2.945,-2.084,-0.951,0
6.674,22.032,388.668,7.119,4.247,0.302,0.101,165.802,13.855,1
7.844,3.273,144.918,11.686,2.526,0.266,0.089,26.12,14.651,1
13.073,-1.112,502.0,14.799,8.563,4.447,1.257,301.626,-2.024,0
7.084,26.51,109.763,10.554,4.278,0.041,0.032,56.571,8.829,1
6.936,19.323,449.945,13.364,3.121,0.396,0.088,35.394,2.545,1
8.414,9.815,6.199,12.692,3.314,0.414,0.089,228.485,10.915,1
1.888,32.132,-1.125,17.554,5.119,1.569,-1.49,304.893,18.289,0
7.388,21.452,28.758,13.478,4.475,0.416,0.182,183.452,14.501,1
11.96,-1.982,501.165,0.824,9.066,2.187,-1.408,302.929,17.51,0
13.221,33.119,-4.295,18.933,-3.848,2.322,2.443,302.839,15.247,0
6.837,8.913,306.619,12.065,0.897,0.425,0.073,164.621,14.387,1
6.965,23.929,387.798,10.089,1.912,0.176,0.194,223.899,9.485,1
10.783,30.736,-4.241,3.374,-2.179,1.433,-2.171,302.197,16.464,0
7.21,24.451,60.409,12.716,2.752,0.284,0.105,95.752,14.984,1
8.247,19.5,10.149,13.723,0.509,0.445,0.002,268.785,7.812,1
8.313,20.763,484.502,13.161,4.411,0.078,0.093,111.354,14.563,1
12.297,-1.648,-0.704,14.44,9.899,4.141,0.322,302.701,-2.772,0
1.67,-3.874,-0.785,17.558,-0.533,-1.945,-3.407,-4.421,-1.494,0
7.782,16.135,315.095,9.616,4.262,0.153,0.076,61.495,14.788,1
7.845,23.0,147.574,10.825,4.24,0.144,0.152,179.213,13.829,1
3.532,33.257,-4.827,15.498,8.184,-4.033,-1.767,300.976,18.748,0
6.959,22.045,249.065,8.708,3.47,0.126,0.007,41.049,5.997,1
8.463,23.23,88.793,11.887,2.095,0.128,0.111,225.492,4.816,1
7.46,7.965,131.007,10.577,2.744,0.495,0.094,56.102,12.653,1
5.997,32.476,500.866,15.601,-2.55,-1.142,0.514,-3.45,16.127,0
7.397,18.078,36.97,9.57,1.174,0.389,0.179,232.332,9.657,1
9.614,32.866,501.611,2.34,8.286,5.25,-4.104,304.517,-0.946,0
8.085,14.905,42.81,13.276,4.191,0.035,0.135,167.558,13.297,1
7.444,7.914,232.27,7.238,1.404,0.466,0.199,195.588,13.901,1
5.761,-1.376,501.509,2.709,-1.375,4.841,1.391,-3.512,19.803,0
3.959,30.935,500.564,4.391,8.521,-1.951,4.29,304.806,-4.01,0
7.614,5.573,262.37,7.199,4.975,0.466,0.047,228.742,5.659,1
12.059,-0.118,-4.482,14.572,-4.419,1.208,-2.644,301.917,19.77,0
12.46,33.013,502.56,1.291,-2.734,-2.048,-1.013,300.895,15.478,0
8.196,7.256,31.756,12.779,1.46,0.071,0.158,36.399,13.773,1
10.931,34.661,502.159,15.182,9.124,-1.143,-1.215,304.766,-3.227,0
6.655,23.83,424.733,8.492,2.768,0.182,0.122,237.1,1.137,1
8.105,21.019,23.208,10.709,1.986,0.253,0.005,94.394,12.163,1
1.528,-1.832,-2.766,4.273,-4.778,3.141,-1.103,-4.363,17.521,0
5.377,33.599,500.881,14.483,-3.556,1.661,0.518,-4.076,16.187,0
7.71,23.902,215.315,7.68,3.9,0.241,0.194,194.455,3.669,1
9.141,-4.916,-0.422,18.207,-2.772,-4.729,-3.104,-4.6,15.628,0
2.462,-0.682,504.861,17.459,-1.145,-1.978,4.04,300.173,-0.47,0
2.855,-1.084,-0.432,2.937,6.966,1.511,-3.229,301.791,-0.335,0
7.181,3.517,324.464,10.981,3.473,0.413,0.167,131.419,6.944,1
6.218,-4.269,503.249,16.876,-0.75,-3.789,-1.377,303.775,-2.404,0
4.802,-3.188,-4.321,2.275,-2.104,2.512,-4.329,301.682,19.073,0
6.709,13.94,421.272,6.944,0.413,0.252,0.007,109.408,6.429,1
6.711,11.124,263.856,10.698,3.032,0.042,0.138,264.983,3.2,1
6.684,16.542,269.272,7.611,4.77,0.415,0.143,99.56,14.8,1
9.929,31.734,-1.516,16.976,-4.563,-2.846,2.334,303.26,18.565,0
7.836,27.967,343.788,5.948,3.03,0.345,0.036,33.173,12.39,1
8.326,11.194,14.734,5.046,4.97,0.234,0.14,69.32,10.51,1
7.136,22.086,317.016,5.39,2.675,0.341,0.039,40.261,10.613,1
8.275,14.465,469.459,12.577,2.747,0.192,0.033,59.803,9.485,1
6.939,8.281,108.578,13.207,4.075,0.123,0.031,82.544,5.578,1
10.427,34.07,502.137,3.517,-3.833,2.344,2.032,-4.244,15.94,0
4.057,30.776,-2.557,17.305,6.032,3.73,-1.235,304.944,-2.645,0
11.76,-3.34,-0.305,0.69,-1.223,2.189,3.786,-4.748,19.837,0
7.288,24.853,23.39,6.394,0.689,0.431,0.051,266.686,13.908,1
7.07,4.207,27.336,5.868,0.037,0.161,0.173,205.323,5.096,1
6.75,13.157,4.821,9.398,0.394,0.227,0.077,94.585,1.116,1
5.724,31.16,-1.104,17.984,-0.559,-1.254,-0.927,-3.189,16.589,0
7.0,25.158,275.707,6.174,2.444,0.445,0.052,10.3,13.052,1
13.015,30.234,500.689,16.834,-4.601,-2.323,-4.144,-4.81,-3.879,0
7.839,8.999,119.595,9.74,3.465,0.35,0.175,130.839,5.29,1
10.434,-4.781,-1.941,0.122,8.516,2.866,0.448,302.182,16.954,0
8.995,-4.134,502.675,2.6,6.374,0.74,-4.829,300.882,15.957,0
8.005,13.655,467.641,5.091,4.132,0.457,0.032,122.025,2.505,1
5.34,-4.597,-4.319,14.765,6.81,1.053,4.922,-2.879,15.106,0
7.852,25.935,157.992,5.782,0.648,0.329,0.185,109.225,7.237,1
13.084,30.667,503.088,16.13,-3.619,-1.501,3.145,-4.665,-1.059,0
12.785,-3.559,504.714,3.351,-4.718,-3.247,-2.002,-1.88,-1.715,0
12.167,-0.43,503.482,17.57,-0.864,-4.326,-0.131,-3.898,-2.03,0
3.381,32.434,503.745,2.048,5.231,-3.819,3.794,303.526,-0.765,0
1.555,-1.812,-3.981,16.394,-0.888,3.095,4.143,301.368,18.53,0
7.824,18.952,326.412,9.174,0.77,0.2,0.168,244.867,4.372,1
7.594,12.005,410.074,12.746,3.394,0.378,0.09,283.818,4.862,1
6.593,13.919,330.548,10.499,2.738,0.463,0.14,25.467,9.228,1
4.204,-1.239,502.806,16.172,-4.747,3.951,1.897,-3.461,-4.318,0
5.355,-0.716,502.218,3.407,-1.54,-3.1,1.536,-4.329,15.673,0
7.629,22.175,299.214,9.399,0.62,0.228,0.145,185.005,11.0,1
2.57,30.251,503.487,1.448,8.982,0.669,-3.227,303.436,-0.48,0
7.581,20.045,187.506,10.284,4.461,0.366,0.103,194.895,7.478,1
7.188,28.872,94.66,11.283,2.158,0.18,0.01,289.076,1.462,1
7.593,0.596,160.947,13.141,3.755,0.319,0.039,11.602,10.18,1
10.179,-1.033,-4.656,0.486,8.714,3.599,-1.673,303.072,18.756,0
8.342,20.503,417.952,12.984,3.067,0.003,0.139,51.424,14.441,1
7.112,28.799,37.145,11.722,1.982,0.149,0.101,146.921,5.818,1
12.666,-2.9,-0.399,3.691,-3.443,2.199,-0.285,-0.481,-3.974,0
8.446,17.266,212.638,7.229,3.227,0.437,0.052,150.327,0.103,1
4.847,30.967,503.048,17.12,-4.607,-1.567,0.724,-3.028,-3.736,0
11.379,-2.604,503.205,14.701,6.64,4.092,-3.015,301.113,15.55,0
10.956,-2.372,-4.927,17.239,8.945,-1.658,2.559,302.406,18.882,0
3.246,33.582,501.601,18.926,6.782,4.572,3.833,-0.849,18.234,0
7.039,12.215,134.184,11.423,2.726,0.289,0.057,197.165,14.058,1
10.812,-2.848,502.42,1.568,5.539,-4.928,2.533,302.43,17.094,0
7.678,20.492,272.31,6.366,2.852,0.223,0.192,163.902,1.166,1
5.348,-3.807,-4.401,15.569,6.404,-4.57,1.453,-3.675,19.676,0
6.271,31.175,-4.755,16.303,8.742,-1.347,-1.142,-3.192,-0.533,0
7.772,29.113,485.804,5.868,1.754,0.395,0.142,295.265,9.718,1
